Store Name,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
241 - RIALTO - O'LEARY,5030104005088,1833721,PCK,0,0,JAKEMANS HONEY AND LEMON LOZENGERS 73GRM,N,,2.30,14.73,23.00%,12,34.36%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5030104005064,1833721,PCK,1,1,JAKEMANS THROAT AND CHEST LOZENGES 73GRM,N,,2.30,14.73,23.00%,12,34.36%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5030104005163,1833721,PCK,2,2,JAKEMANS BLACKCURRANT BAG 73GRM,N,,2.30,14.73,23.00%,12,34.36%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5030104005125,1841891,PCK,0,0,JAKEMANS LOZENGES/73G,N,,1.60,0.94,23.00%,1,27.74%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5010933011238,1005428,PCK,4,4,CHEWITS FRUIT SALAD STICK PACK 30GRM,N,,1.55,26.79,23.00%,40,46.85%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5010933011207,1005428,PCK,6,6,CHEWITS STRAWBERRY 30GRM,N,,1.55,27.49,23.00%,40,45.46%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060072652175,1005428,PCK,7,7,CHEWITS BLUE RASPBERRY STICK PACK 30GRM,N,,1.55,26.79,23.00%,40,46.85%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5023274065600,1017858,PCK,0,0,BARRATTS REFRESHER ROLL 34.2GRM,N,,1.70,36.30,23.00%,48,45.28%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060072652199,1021934,PCK,0,0,CHEWITS XTRA APPLE STICK PACK 31GRM,N,,1.50,16.71,23.00%,24,42.91%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5023274045596,1024134,PCK,0,0,BARRATT FRUIT SALAD 36GRM,N,,1.25,17.49,23.00%,40,56.97%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,44291,1024134,PCK,1,1,BASSETTS STICK PACK BLACK JACK 36GRM,Y,,0.47,11.05,23.00%,40,27.70%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5023274045602,1029880,PCK,0,0,BARR BLACK JACK STICK PACK 36GRM,N,,1.55,19.10,23.00%,40,62.11%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011053003325,1030087,PCK,1,0,BZKA PUSH POP ORIG 15GRM,N,,1.49,18.79,23.00%,20,22.44%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
